total_packets_a2b_sum,total_packets_a2b_mean,total_packets_a2b_max,total_packets_a2b_min,total_packets_b2a_sum,total_packets_b2a_mean,total_packets_b2a_max,total_packets_b2a_min,ack_pkts_sent_a2b_sum,ack_pkts_sent_a2b_mean,ack_pkts_sent_a2b_max,ack_pkts_sent_a2b_min,ack_pkts_sent_b2a_sum,ack_pkts_sent_b2a_mean,ack_pkts_sent_b2a_max,ack_pkts_sent_b2a_min,pure_acks_sent_a2b_sum,pure_acks_sent_a2b_mean,pure_acks_sent_a2b_max,pure_acks_sent_a2b_min,pure_acks_sent_b2a_sum,pure_acks_sent_b2a_mean,pure_acks_sent_b2a_max,pure_acks_sent_b2a_min,sack_pkts_sent_a2b_sum,sack_pkts_sent_a2b_mean,sack_pkts_sent_a2b_max,sack_pkts_sent_a2b_min,sack_pkts_sent_b2a_sum,sack_pkts_sent_b2a_mean,sack_pkts_sent_b2a_max,sack_pkts_sent_b2a_min,dsack_pkts_sent_a2b_sum,dsack_pkts_sent_a2b_mean,dsack_pkts_sent_a2b_max,dsack_pkts_sent_a2b_min,dsack_pkts_sent_b2a_sum,dsack_pkts_sent_b2a_mean,dsack_pkts_sent_b2a_max,dsack_pkts_sent_b2a_min,max_sack_blks/ack_a2b_sum,max_sack_blks/ack_a2b_mean,max_sack_blks/ack_a2b_max,max_sack_blks/ack_a2b_min,max_sack_blks/ack_b2a_sum,max_sack_blks/ack_b2a_mean,max_sack_blks/ack_b2a_max,max_sack_blks/ack_b2a_min,unique_bytes_sent_a2b_sum,unique_bytes_sent_a2b_mean,unique_bytes_sent_a2b_max,unique_bytes_sent_a2b_min,unique_bytes_sent_b2a_sum,unique_bytes_sent_b2a_mean,unique_bytes_sent_b2a_max,unique_bytes_sent_b2a_min,actual_data_pkts_a2b_sum,actual_data_pkts_a2b_mean,actual_data_pkts_a2b_max,actual_data_pkts_a2b_min,actual_data_pkts_b2a_sum,actual_data_pkts_b2a_mean,actual_data_pkts_b2a_max,actual_data_pkts_b2a_min,actual_data_bytes_a2b_sum,actual_data_bytes_a2b_mean,actual_data_bytes_a2b_max,actual_data_bytes_a2b_min,actual_data_bytes_b2a_sum,actual_data_bytes_b2a_mean,actual_data_bytes_b2a_max,actual_data_bytes_b2a_min,rexmt_data_pkts_a2b_sum,rexmt_data_pkts_a2b_mean,rexmt_data_pkts_a2b_max,rexmt_data_pkts_a2b_min,rexmt_data_pkts_b2a_sum,rexmt_data_pkts_b2a_mean,rexmt_data_pkts_b2a_max,rexmt_data_pkts_b2a_min,rexmt_data_bytes_a2b_sum,rexmt_data_bytes_a2b_mean,rexmt_data_bytes_a2b_max,rexmt_data_bytes_a2b_min,rexmt_data_bytes_b2a_sum,rexmt_data_bytes_b2a_mean,rexmt_data_bytes_b2a_max,rexmt_data_bytes_b2a_min,zwnd_probe_pkts_a2b_sum,zwnd_probe_pkts_a2b_mean,zwnd_probe_pkts_a2b_max,zwnd_probe_pkts_a2b_min,zwnd_probe_pkts_b2a_sum,zwnd_probe_pkts_b2a_mean,zwnd_probe_pkts_b2a_max,zwnd_probe_pkts_b2a_min,zwnd_probe_bytes_a2b_sum,zwnd_probe_bytes_a2b_mean,zwnd_probe_bytes_a2b_max,zwnd_probe_bytes_a2b_min,zwnd_probe_bytes_b2a_sum,zwnd_probe_bytes_b2a_mean,zwnd_probe_bytes_b2a_max,zwnd_probe_bytes_b2a_min,outoforder_pkts_a2b_sum,outoforder_pkts_a2b_mean,outoforder_pkts_a2b_max,outoforder_pkts_a2b_min,outoforder_pkts_b2a_sum,outoforder_pkts_b2a_mean,outoforder_pkts_b2a_max,outoforder_pkts_b2a_min,pushed_data_pkts_a2b_sum,pushed_data_pkts_a2b_mean,pushed_data_pkts_a2b_max,pushed_data_pkts_a2b_min,pushed_data_pkts_b2a_sum,pushed_data_pkts_b2a_mean,pushed_data_pkts_b2a_max,pushed_data_pkts_b2a_min,sacks_sent_a2b_sum,sacks_sent_a2b_mean,sacks_sent_a2b_max,sacks_sent_a2b_min,sacks_sent_b2a_sum,sacks_sent_b2a_mean,sacks_sent_b2a_max,sacks_sent_b2a_min,urgent_data_pkts_a2b_sum,urgent_data_pkts_a2b_mean,urgent_data_pkts_a2b_max,urgent_data_pkts_a2b_min,urgent_data_pkts_b2a_sum,urgent_data_pkts_b2a_mean,urgent_data_pkts_b2a_max,urgent_data_pkts_b2a_min,urgent_data_bytes_a2b_sum,urgent_data_bytes_a2b_mean,urgent_data_bytes_a2b_max,urgent_data_bytes_a2b_min,urgent_data_bytes_b2a_sum,urgent_data_bytes_b2a_mean,urgent_data_bytes_b2a_max,urgent_data_bytes_b2a_min,mss_requested_a2b_sum,mss_requested_a2b_mean,mss_requested_a2b_max,mss_requested_a2b_min,mss_requested_b2a_sum,mss_requested_b2a_mean,mss_requested_b2a_max,mss_requested_b2a_min,avg_win_adv_a2b_sum,avg_win_adv_a2b_mean,avg_win_adv_a2b_max,avg_win_adv_a2b_min,avg_win_adv_b2a_sum,avg_win_adv_b2a_mean,avg_win_adv_b2a_max,avg_win_adv_b2a_min,initial_window_bytes_a2b_sum,initial_window_bytes_a2b_mean,initial_window_bytes_a2b_max,initial_window_bytes_a2b_min,initial_window_bytes_b2a_sum,initial_window_bytes_b2a_mean,initial_window_bytes_b2a_max,initial_window_bytes_b2a_min,initial_window_pkts_a2b_sum,initial_window_pkts_a2b_mean,initial_window_pkts_a2b_max,initial_window_pkts_a2b_min,initial_window_pkts_a2b_sum,initial_window_pkts_a2b_mean,initial_window_pkts_a2b_max,initial_window_pkts_a2b_min,data_xmit_time_a2b_sum,data_xmit_time_a2b_mean,data_xmit_time_a2b_max,data_xmit_time_a2b_min,data_xmit_time_b2a_sum,data_xmit_time_b2a_mean,data_xmit_time_b2a_max,data_xmit_time_b2a_min,idletime_max_a2b_sum,idletime_max_a2b_mean,idletime_max_a2b_max,idletime_max_a2b_min,idletime_max_b2a_sum,idletime_max_b2a_mean,idletime_max_b2a_max,idletime_max_b2a_min,throughput_a2b_sum,throughput_a2b_mean,throughput_a2b_max,throughput_a2b_min,throughput_b2a_sum,throughput_b2a_mean,throughput_b2a_max,throughput_b2a_min,delta_sum,delta_mean,delta_max,delta_min,SYN_pkts_sent_a2b_sum,SYN_pkts_sent_a2b_mean,SYN_pkts_sent_a2b_max,SYN_pkts_sent_a2b_min,FIN_pkts_sent_a2b_sum,FIN_pkts_sent_a2b_mean,FIN_pkts_sent_a2b_max,FIN_pkts_sent_a2b_min,SYN_pkts_sent_b2a_sum,SYN_pkts_sent_b2a_mean,SYN_pkts_sent_b2a_max,SYN_pkts_sent_b2a_min,FIN_pkts_sent_b2a_sum,FIN_pkts_sent_b2a_mean,FIN_pkts_sent_b2a_max,FIN_pkts_sent_b2a_min,adv_wind_scale_a2b_mean,adv_wind_scale_b2a_mean,max_segm_size_a2b_max,max_segm_size_b2a_max,max_win_adv_a2b_max,max_win_adv_b2a_max,min_segm_size_a2b_min,min_segm_size_b2a_min,min_win_adv_a2b_min,min_win_adv_b2a_min
17,8.5,9,8,16,8.0,9,7,15,7.5,8,7,16,8.0,9,7,8,4.0,5,3,3,1.5,2,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,2184,1092.0,1403,781,5564,2782.0,4358,1206,7,3.5,4,3,11,5.5,7,4,2184,1092.0,1403,781,5564,2782.0,4358,1206,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,7,3.5,4,3,9,4.5,5,4,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,2920,1460.0,1460,1460,2790,1395.0,1410,1380,181889,90944.5,94008,87881,74032,37016.0,43952,30080,607,303.5,415,192,3629,1814.5,3483,146,2,1.0,1,1,2,1.0,1,1,0.109,0.0545,0.057,0.052,0.1,0.05,0.05,0.05,24697.3,12348.65,14407.8,10289.5,24653.6,12326.8,14362.5,10291.1,17573,8786.5,9126,8447,54980,27490.0,47136,7844,0.184910297394,0.0924551486969,0.0924551486969,0.0924551486969,2,1.0,1,1,0,0.0,0,0,2,1.0,1,1,0,0.0,0,0,6.0,7.5,899,1418,101824,44672,38,26,87616,29184
8,8.0,8,8,7,7.0,7,7,7,7.0,7,7,7,7.0,7,7,3,3.0,3,3,2,2.0,2,2,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1403,1403.0,1403,1403,1206,1206.0,1206,1206,4,4.0,4,4,4,4.0,4,4,1403,1403.0,1403,1403,1206,1206.0,1206,1206,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,4,4.0,4,4,4,4.0,4,4,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1460,1460.0,1460,1460,1410,1410.0,1410,1410,87881,87881.0,87881,87881,30080,30080.0,30080,30080,415,415.0,415,415,146,146.0,146,146,1,1.0,1,1,1,1.0,1,1,0.064,0.064,0.064,0.064,0.05,0.05,0.05,0.05,51.6,51.6,51.6,51.6,52.6,52.6,52.6,52.6,8732,8732.0,8732,8732,7506,7506.0,7506,7506,0.160668134689,0.160668134689,0.160668134689,0.160668134689,1,1.0,1,1,0,0.0,0,0,1,1.0,1,1,0,0.0,0,0,6.0,8.0,899,928,89472,30976,38,51,87616,29184
9,4.5,8,1,8,4.0,7,1,8,4.0,7,1,8,4.0,7,1,3,1.5,3,0,3,1.5,2,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1434,717.0,1403,31,1209,604.5,1209,0,5,2.5,4,1,4,2.0,4,0,1434,717.0,1403,31,1209,604.5,1209,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,5,2.5,4,1,4,2.0,4,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1460,730.0,1460,0,1410,705.0,1410,0,88004,44002.0,87881,123,31630,15815.0,30080,1550,446,223.0,415,31,146,73.0,146,0,2,1.0,1,1,2,1.0,1,1,0.063,0.0315,0.063,0.0,0.051,0.0255,0.051,0.0,7448.7,3724.35,5815.6,1633.1,7343.2,3671.6,5769.4,1573.8,9246,4623.0,8723,523,7517,3758.5,7517,0,0.11855840683,0.0592792034149,0.0592792034149,0.0592792034149,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,3.0,4.0,899,931,89472,30976,31,0,123,1550
8,8.0,8,8,7,7.0,7,7,7,7.0,7,7,7,7.0,7,7,3,3.0,3,3,2,2.0,2,2,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1403,1403.0,1403,1403,1205,1205.0,1205,1205,4,4.0,4,4,4,4.0,4,4,1403,1403.0,1403,1403,1205,1205.0,1205,1205,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,4,4.0,4,4,4,4.0,4,4,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1460,1460.0,1460,1460,1410,1410.0,1410,1410,87881,87881.0,87881,87881,30080,30080.0,30080,30080,415,415.0,415,415,146,146.0,146,146,1,1.0,1,1,1,1.0,1,1,0.061,0.061,0.061,0.061,0.05,0.05,0.05,0.05,48.1,48.1,48.1,48.1,49.1,49.1,49.1,49.1,8984,8984.0,8984,8984,7716,7716.0,7716,7716,0.156169891357,0.156169891357,0.156169891357,0.156169891357,1,1.0,1,1,0,0.0,0,0,1,1.0,1,1,0,0.0,0,0,6.0,8.0,899,927,89472,30976,38,51,87616,29184
8,8.0,8,8,7,7.0,7,7,7,7.0,7,7,7,7.0,7,7,3,3.0,3,3,2,2.0,2,2,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1402,1402.0,1402,1402,1202,1202.0,1202,1202,4,4.0,4,4,4,4.0,4,4,1402,1402.0,1402,1402,1202,1202.0,1202,1202,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,4,4.0,4,4,4,4.0,4,4,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1460,1460.0,1460,1460,1410,1410.0,1410,1410,87881,87881.0,87881,87881,30080,30080.0,30080,30080,415,415.0,415,415,146,146.0,146,146,1,1.0,1,1,1,1.0,1,1,0.071,0.071,0.071,0.071,0.052,0.052,0.052,0.052,60.1,60.1,60.1,60.1,64.1,64.1,64.1,64.1,8083,8083.0,8083,8083,6930,6930.0,6930,6930,0.173444032669,0.173444032669,0.173444032669,0.173444032669,1,1.0,1,1,0,0.0,0,0,1,1.0,1,1,0,0.0,0,0,6.0,8.0,898,924,89472,30976,38,51,87616,29184
8,8.0,8,8,7,7.0,7,7,7,7.0,7,7,7,7.0,7,7,3,3.0,3,3,2,2.0,2,2,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1404,1404.0,1404,1404,1206,1206.0,1206,1206,4,4.0,4,4,4,4.0,4,4,1404,1404.0,1404,1404,1206,1206.0,1206,1206,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,4,4.0,4,4,4,4.0,4,4,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1460,1460.0,1460,1460,1386,1386.0,1386,1386,87881,87881.0,87881,87881,30080,30080.0,30080,30080,415,415.0,415,415,146,146.0,146,146,1,1.0,1,1,1,1.0,1,1,0.058,0.058,0.058,0.058,0.045,0.045,0.045,0.045,50.8,50.8,50.8,50.8,51.8,51.8,51.8,51.8,8791,8791.0,8791,8791,7552,7552.0,7552,7552,0.15969991684,0.15969991684,0.15969991684,0.15969991684,1,1.0,1,1,0,0.0,0,0,1,1.0,1,1,0,0.0,0,0,6.0,8.0,900,928,89472,30976,38,51,87616,29184
8,8.0,8,8,7,7.0,7,7,7,7.0,7,7,7,7.0,7,7,3,3.0,3,3,2,2.0,2,2,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1403,1403.0,1403,1403,1207,1207.0,1207,1207,4,4.0,4,4,4,4.0,4,4,1403,1403.0,1403,1403,1207,1207.0,1207,1207,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,4,4.0,4,4,4,4.0,4,4,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1460,1460.0,1460,1460,1386,1386.0,1386,1386,87881,87881.0,87881,87881,30080,30080.0,30080,30080,415,415.0,415,415,146,146.0,146,146,1,1.0,1,1,1,1.0,1,1,0.06,0.06,0.06,0.06,0.044,0.044,0.044,0.044,1944.6,1944.6,1944.6,1944.6,1892.1,1892.1,1892.1,1892.1,9125,9125.0,9125,9125,7851,7851.0,7851,7851,0.153746128082,0.153746128082,0.153746128082,0.153746128082,1,1.0,1,1,0,0.0,0,0,1,1.0,1,1,0,0.0,0,0,6.0,8.0,899,929,89472,30976,38,51,87616,29184
8,8.0,8,8,7,7.0,7,7,7,7.0,7,7,7,7.0,7,7,3,3.0,3,3,2,2.0,2,2,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1403,1403.0,1403,1403,1206,1206.0,1206,1206,4,4.0,4,4,4,4.0,4,4,1403,1403.0,1403,1403,1206,1206.0,1206,1206,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,4,4.0,4,4,4,4.0,4,4,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1460,1460.0,1460,1460,1386,1386.0,1386,1386,87881,87881.0,87881,87881,30080,30080.0,30080,30080,415,415.0,415,415,146,146.0,146,146,1,1.0,1,1,1,1.0,1,1,0.063,0.063,0.063,0.063,0.05,0.05,0.05,0.05,51.4,51.4,51.4,51.4,51.3,51.3,51.3,51.3,8796,8796.0,8796,8796,7561,7561.0,7561,7561,0.159511804581,0.159511804581,0.159511804581,0.159511804581,1,1.0,1,1,0,0.0,0,0,1,1.0,1,1,0,0.0,0,0,6.0,8.0,899,928,89472,30976,38,51,87616,29184
22,7.33333333333,12,2,18,6.0,9,2,20,6.66666666667,11,2,16,5.33333333333,9,0,11,3.66666666667,8,0,3,1.0,2,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,2158,719.333333333,1403,31,6313,2104.33333333,5109,0,8,2.66666666667,4,1,11,3.66666666667,7,0,2158,719.333333333,1403,31,6313,2104.33333333,5109,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8,2.66666666667,4,1,8,2.66666666667,4,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,2920,973.333333333,1460,0,2772,924.0,1386,0,185259,61753.0,95808,1570,57344,19114.6666667,30080,0,642,214.0,415,31,4984,1661.33333333,4838,0,3,1.0,1,1,3,1.0,1,1,0.221,0.0736666666667,0.166,0.0,0.21,0.07,0.167,0.0,1468.7,489.566666667,1364.7,0.3,1412.9,470.966666667,1313.9,0.0,12059,4019.66666667,9395,505,23298,7766.0,15235,0,1.00602865219,0.335342884064,0.335342884064,0.335342884064,3,1.0,1,1,0,0.0,0,0,3,1.0,1,1,0,0.0,0,0,4.0,5.33333333333,899,1288,100480,30976,31,0,1570,0
8,8.0,8,8,7,7.0,7,7,7,7.0,7,7,7,7.0,7,7,3,3.0,3,3,2,2.0,2,2,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1403,1403.0,1403,1403,1204,1204.0,1204,1204,4,4.0,4,4,4,4.0,4,4,1403,1403.0,1403,1403,1204,1204.0,1204,1204,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,4,4.0,4,4,4,4.0,4,4,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1460,1460.0,1460,1460,1386,1386.0,1386,1386,87881,87881.0,87881,87881,30080,30080.0,30080,30080,415,415.0,415,415,146,146.0,146,146,1,1.0,1,1,1,1.0,1,1,0.059,0.059,0.059,0.059,0.044,0.044,0.044,0.044,49.9,49.9,49.9,49.9,51.5,51.5,51.5,51.5,9190,9190.0,9190,9190,7887,7887.0,7887,7887,0.0151438713074,0.0151438713074,0.0151438713074,0.0151438713074,1,1.0,1,1,0,0.0,0,0,1,1.0,1,1,0,0.0,0,0,6.0,8.0,899,926,89472,30976,38,51,87616,29184
