total_packets_a2b_sum,total_packets_a2b_mean,total_packets_a2b_max,total_packets_a2b_min,total_packets_b2a_sum,total_packets_b2a_mean,total_packets_b2a_max,total_packets_b2a_min,ack_pkts_sent_a2b_sum,ack_pkts_sent_a2b_mean,ack_pkts_sent_a2b_max,ack_pkts_sent_a2b_min,ack_pkts_sent_b2a_sum,ack_pkts_sent_b2a_mean,ack_pkts_sent_b2a_max,ack_pkts_sent_b2a_min,pure_acks_sent_a2b_sum,pure_acks_sent_a2b_mean,pure_acks_sent_a2b_max,pure_acks_sent_a2b_min,pure_acks_sent_b2a_sum,pure_acks_sent_b2a_mean,pure_acks_sent_b2a_max,pure_acks_sent_b2a_min,sack_pkts_sent_a2b_sum,sack_pkts_sent_a2b_mean,sack_pkts_sent_a2b_max,sack_pkts_sent_a2b_min,sack_pkts_sent_b2a_sum,sack_pkts_sent_b2a_mean,sack_pkts_sent_b2a_max,sack_pkts_sent_b2a_min,dsack_pkts_sent_a2b_sum,dsack_pkts_sent_a2b_mean,dsack_pkts_sent_a2b_max,dsack_pkts_sent_a2b_min,dsack_pkts_sent_b2a_sum,dsack_pkts_sent_b2a_mean,dsack_pkts_sent_b2a_max,dsack_pkts_sent_b2a_min,max_sack_blks/ack_a2b_sum,max_sack_blks/ack_a2b_mean,max_sack_blks/ack_a2b_max,max_sack_blks/ack_a2b_min,max_sack_blks/ack_b2a_sum,max_sack_blks/ack_b2a_mean,max_sack_blks/ack_b2a_max,max_sack_blks/ack_b2a_min,unique_bytes_sent_a2b_sum,unique_bytes_sent_a2b_mean,unique_bytes_sent_a2b_max,unique_bytes_sent_a2b_min,unique_bytes_sent_b2a_sum,unique_bytes_sent_b2a_mean,unique_bytes_sent_b2a_max,unique_bytes_sent_b2a_min,actual_data_pkts_a2b_sum,actual_data_pkts_a2b_mean,actual_data_pkts_a2b_max,actual_data_pkts_a2b_min,actual_data_pkts_b2a_sum,actual_data_pkts_b2a_mean,actual_data_pkts_b2a_max,actual_data_pkts_b2a_min,actual_data_bytes_a2b_sum,actual_data_bytes_a2b_mean,actual_data_bytes_a2b_max,actual_data_bytes_a2b_min,actual_data_bytes_b2a_sum,actual_data_bytes_b2a_mean,actual_data_bytes_b2a_max,actual_data_bytes_b2a_min,rexmt_data_pkts_a2b_sum,rexmt_data_pkts_a2b_mean,rexmt_data_pkts_a2b_max,rexmt_data_pkts_a2b_min,rexmt_data_pkts_b2a_sum,rexmt_data_pkts_b2a_mean,rexmt_data_pkts_b2a_max,rexmt_data_pkts_b2a_min,rexmt_data_bytes_a2b_sum,rexmt_data_bytes_a2b_mean,rexmt_data_bytes_a2b_max,rexmt_data_bytes_a2b_min,rexmt_data_bytes_b2a_sum,rexmt_data_bytes_b2a_mean,rexmt_data_bytes_b2a_max,rexmt_data_bytes_b2a_min,zwnd_probe_pkts_a2b_sum,zwnd_probe_pkts_a2b_mean,zwnd_probe_pkts_a2b_max,zwnd_probe_pkts_a2b_min,zwnd_probe_pkts_b2a_sum,zwnd_probe_pkts_b2a_mean,zwnd_probe_pkts_b2a_max,zwnd_probe_pkts_b2a_min,zwnd_probe_bytes_a2b_sum,zwnd_probe_bytes_a2b_mean,zwnd_probe_bytes_a2b_max,zwnd_probe_bytes_a2b_min,zwnd_probe_bytes_b2a_sum,zwnd_probe_bytes_b2a_mean,zwnd_probe_bytes_b2a_max,zwnd_probe_bytes_b2a_min,outoforder_pkts_a2b_sum,outoforder_pkts_a2b_mean,outoforder_pkts_a2b_max,outoforder_pkts_a2b_min,outoforder_pkts_b2a_sum,outoforder_pkts_b2a_mean,outoforder_pkts_b2a_max,outoforder_pkts_b2a_min,pushed_data_pkts_a2b_sum,pushed_data_pkts_a2b_mean,pushed_data_pkts_a2b_max,pushed_data_pkts_a2b_min,pushed_data_pkts_b2a_sum,pushed_data_pkts_b2a_mean,pushed_data_pkts_b2a_max,pushed_data_pkts_b2a_min,sacks_sent_a2b_sum,sacks_sent_a2b_mean,sacks_sent_a2b_max,sacks_sent_a2b_min,sacks_sent_b2a_sum,sacks_sent_b2a_mean,sacks_sent_b2a_max,sacks_sent_b2a_min,urgent_data_pkts_a2b_sum,urgent_data_pkts_a2b_mean,urgent_data_pkts_a2b_max,urgent_data_pkts_a2b_min,urgent_data_pkts_b2a_sum,urgent_data_pkts_b2a_mean,urgent_data_pkts_b2a_max,urgent_data_pkts_b2a_min,urgent_data_bytes_a2b_sum,urgent_data_bytes_a2b_mean,urgent_data_bytes_a2b_max,urgent_data_bytes_a2b_min,urgent_data_bytes_b2a_sum,urgent_data_bytes_b2a_mean,urgent_data_bytes_b2a_max,urgent_data_bytes_b2a_min,mss_requested_a2b_sum,mss_requested_a2b_mean,mss_requested_a2b_max,mss_requested_a2b_min,mss_requested_b2a_sum,mss_requested_b2a_mean,mss_requested_b2a_max,mss_requested_b2a_min,avg_win_adv_a2b_sum,avg_win_adv_a2b_mean,avg_win_adv_a2b_max,avg_win_adv_a2b_min,avg_win_adv_b2a_sum,avg_win_adv_b2a_mean,avg_win_adv_b2a_max,avg_win_adv_b2a_min,initial_window_bytes_a2b_sum,initial_window_bytes_a2b_mean,initial_window_bytes_a2b_max,initial_window_bytes_a2b_min,initial_window_bytes_b2a_sum,initial_window_bytes_b2a_mean,initial_window_bytes_b2a_max,initial_window_bytes_b2a_min,initial_window_pkts_a2b_sum,initial_window_pkts_a2b_mean,initial_window_pkts_a2b_max,initial_window_pkts_a2b_min,initial_window_pkts_a2b_sum,initial_window_pkts_a2b_mean,initial_window_pkts_a2b_max,initial_window_pkts_a2b_min,data_xmit_time_a2b_sum,data_xmit_time_a2b_mean,data_xmit_time_a2b_max,data_xmit_time_a2b_min,data_xmit_time_b2a_sum,data_xmit_time_b2a_mean,data_xmit_time_b2a_max,data_xmit_time_b2a_min,idletime_max_a2b_sum,idletime_max_a2b_mean,idletime_max_a2b_max,idletime_max_a2b_min,idletime_max_b2a_sum,idletime_max_b2a_mean,idletime_max_b2a_max,idletime_max_b2a_min,throughput_a2b_sum,throughput_a2b_mean,throughput_a2b_max,throughput_a2b_min,throughput_b2a_sum,throughput_b2a_mean,throughput_b2a_max,throughput_b2a_min,delta_sum,delta_mean,delta_max,delta_min,SYN_pkts_sent_a2b_sum,SYN_pkts_sent_a2b_mean,SYN_pkts_sent_a2b_max,SYN_pkts_sent_a2b_min,FIN_pkts_sent_a2b_sum,FIN_pkts_sent_a2b_mean,FIN_pkts_sent_a2b_max,FIN_pkts_sent_a2b_min,SYN_pkts_sent_b2a_sum,SYN_pkts_sent_b2a_mean,SYN_pkts_sent_b2a_max,SYN_pkts_sent_b2a_min,FIN_pkts_sent_b2a_sum,FIN_pkts_sent_b2a_mean,FIN_pkts_sent_b2a_max,FIN_pkts_sent_b2a_min,adv_wind_scale_a2b_mean,adv_wind_scale_b2a_mean,max_segm_size_a2b_max,max_segm_size_b2a_max,max_win_adv_a2b_max,max_win_adv_b2a_max,min_segm_size_a2b_min,min_segm_size_b2a_min,min_win_adv_a2b_min,min_win_adv_b2a_min
65,10.8333333333,12,9,55,9.16666666667,11,8,59,9.83333333333,11,8,54,9.0,10,8,37,6.16666666667,8,5,8,1.33333333333,2,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8189,1364.83333333,1795,1027,35618,5936.33333333,7573,4946,21,3.5,5,3,39,6.5,8,5,8189,1364.83333333,1795,1027,35618,5936.33333333,7573,4946,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,21,3.5,5,3,22,3.66666666667,5,3,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1460.0,1460,1460,8760,1460.0,1460,1460,561990,93665.0,96313,85228,182470,30411.6666667,31744,27686,1108,184.666666667,196,164,23745,3957.5,4926,1448,6,1.0,1,1,6,1.0,1,1,0.793,0.132166666667,0.174,0.08,1.113,0.1855,0.243,0.087,1532.2,255.366666667,632.4,29.2,1649.0,274.833333333,665.0,56.1,29104,4850.66666667,8376,2645,123332,20555.3333333,32495,14637,1.02145814896,0.170243024826,0.170243024826,0.170243024826,6,1.0,1,1,0,0.0,0,0,6,1.0,1,1,6,1.0,1,1,6.0,8.0,1309,1448,105024,34304,31,31,87616,30048
71,8.875,12,2,61,7.625,11,2,65,8.125,11,2,55,6.875,11,0,38,4.75,8,0,8,1.0,2,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8245,1030.625,1796,31,35716,4464.5,7602,0,23,2.875,5,1,40,5.0,9,0,8245,1030.625,1796,31,35716,4464.5,7602,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.125,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,23,2.875,5,1,23,2.875,5,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1095.0,1460,0,8760,1095.0,1460,0,563389,70423.625,96313,62,182556,22819.5,31744,0,1170,146.25,196,31,22919,2864.875,4693,0,8,1.0,1,1,8,1.0,1,1,0.815,0.101875,0.158,0.0,1.149,0.143625,0.246,0.0,6319.2,789.9,1588.9,0.0,6380.1,797.5125,1622.0,0.2,41983,5247.875,13525,246,121536,15192.0,29303,0,0.0183353424072,0.0022919178009,0.0022919178009,0.0022919178009,0,0.0,0,0,8,1.0,1,1,0,0.0,0,0,0,0.0,0,0,4.5,6.0,1307,1448,105024,34304,31,0,62,0
65,10.8333333333,12,9,56,9.33333333333,11,8,59,9.83333333333,11,8,55,9.16666666667,10,8,37,6.16666666667,8,5,8,1.33333333333,2,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8111,1351.83333333,1798,985,35890,5981.66666667,7661,4946,21,3.5,5,3,40,6.66666666667,8,5,8111,1351.83333333,1798,985,35890,5981.66666667,7661,4946,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,21,3.5,5,3,23,3.83333333333,5,3,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1460.0,1460,1460,8760,1460.0,1460,1460,562317,93719.5,96313,85228,182608,30434.6666667,31744,27686,1108,184.666666667,196,164,26645,4440.83333333,4926,3893,6,1.0,1,1,6,1.0,1,1,0.838,0.139666666667,0.187,0.081,1.225,0.204166666667,0.245,0.1,1491.5,248.583333333,666.1,37.4,1599.7,266.616666667,701.0,61.9,27005,4500.83333333,7783,2601,116977,19496.1666667,30173,14649,1.10003900528,0.183339834213,0.183339834213,0.183339834213,6,1.0,1,1,0,0.0,0,0,6,1.0,1,1,6,1.0,1,1,6.0,8.0,1307,1448,105024,34304,31,31,87616,30048
66,11.0,12,9,56,9.33333333333,11,8,60,10.0,11,8,55,9.16666666667,11,8,38,6.33333333333,8,5,8,1.33333333333,2,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8108,1351.33333333,1799,985,35894,5982.33333333,7687,4946,21,3.5,5,3,40,6.66666666667,9,5,8108,1351.33333333,1799,985,35894,5982.33333333,7687,4946,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,21,3.5,5,3,23,3.83333333333,5,3,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1460.0,1460,1460,8760,1460.0,1460,1460,563260,93876.6666667,96313,86498,182748,30458.0,31936,27686,1108,184.666666667,196,164,24688,4114.66666667,5869,1448,6,1.0,1,1,6,1.0,1,1,0.838,0.139666666667,0.167,0.093,1.288,0.214666666667,0.321,0.099,1406.1,234.35,570.5,38.7,1234.2,205.7,613.3,66.7,25542,4257.0,7823,2669,112992,18832.0,30371,11995,1.09288787842,0.182147979736,0.182147979736,0.182147979736,6,1.0,1,1,0,0.0,0,0,6,1.0,1,1,6,1.0,1,1,6.0,8.0,1307,1448,105024,34816,31,31,87616,30048
66,11.0,12,9,59,9.83333333333,12,8,60,10.0,11,8,58,9.66666666667,11,8,38,6.33333333333,8,5,10,1.66666666667,2,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8187,1364.5,1796,1027,35743,5957.16666667,7574,4946,21,3.5,5,3,41,6.83333333333,8,5,8187,1364.5,1796,1027,35743,5957.16666667,7574,4946,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,21,3.5,5,3,24,4.0,5,3,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1460.0,1460,1460,8760,1460.0,1460,1460,563260,93876.6666667,96313,86498,172177,28696.1666667,32028,19854,1108,184.666666667,196,164,21967,3661.16666667,4693,1448,6,1.0,1,1,6,1.0,1,1,1.039,0.173166666667,0.36,0.086,1.104,0.184,0.235,0.14,2862.2,477.033333333,866.1,219.4,2948.5,491.416666667,903.6,191.7,25581,4263.5,5623,2970,110798,18466.3333333,21545,13011,2.55115270615,0.425192117691,0.425192117691,0.425192117691,6,1.0,1,1,0,0.0,0,0,6,1.0,1,1,6,1.0,1,1,6.0,8.0,1309,1448,105024,34304,31,31,87616,15872
66,11.0,12,9,56,9.33333333333,11,8,59,9.83333333333,11,8,55,9.16666666667,10,8,37,6.16666666667,8,5,9,1.5,2,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8511,1418.5,2197,985,35840,5973.33333333,7654,4946,21,3.5,5,3,39,6.5,8,5,8511,1418.5,2197,985,35840,5973.33333333,7654,4946,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,21,3.5,5,3,22,3.66666666667,5,3,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1460.0,1460,1460,8760,1460.0,1460,1460,554242,92373.6666667,96313,77480,171540,28590.0,31744,19854,1108,184.666666667,196,164,22915,3819.16666667,4693,1448,6,1.0,1,1,6,1.0,1,1,0.785,0.130833333333,0.158,0.078,1.191,0.1985,0.328,0.091,1516.6,252.766666667,609.9,31.7,1558.1,259.683333333,649.4,57.1,29124,4854.0,8156,2095,120302,20050.3333333,31620,12643,1.04972362518,0.174953937531,0.174953937531,0.174953937531,6,1.0,1,1,0,0.0,0,0,6,1.0,1,1,6,1.0,1,1,6.0,8.0,1306,1448,105024,34304,31,31,87616,15872
66,11.0,12,9,55,9.16666666667,11,8,60,10.0,11,8,54,9.0,10,8,38,6.33333333333,8,5,8,1.33333333333,2,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8042,1340.33333333,1798,957,35862,5977.0,7660,4946,21,3.5,5,3,39,6.5,8,5,8042,1340.33333333,1798,957,35862,5977.0,7660,4946,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,21,3.5,5,3,22,3.66666666667,5,3,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1460.0,1460,1460,8760,1460.0,1460,1460,563260,93876.6666667,96313,86498,172838,28806.3333333,31744,21152,1044,174.0,190,164,22549,3758.16666667,4926,1448,6,1.0,1,1,6,1.0,1,1,0.807,0.1345,0.168,0.078,1.223,0.203833333333,0.273,0.102,1713.6,285.6,685.7,94.0,1722.4,287.066666667,718.8,94.3,23615,3935.83333333,5585,2457,103563,17260.5,21741,11847,1.52668762207,0.254447937012,0.254447937012,0.254447937012,6,1.0,1,1,0,0.0,0,0,6,1.0,1,1,6,1.0,1,1,6.0,8.0,1306,1448,105024,34816,31,31,87616,19200
66,11.0,12,9,57,9.5,11,8,60,10.0,11,8,56,9.33333333333,10,8,38,6.33333333333,8,5,9,1.5,2,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8195,1365.83333333,1802,1027,35648,5941.33333333,7569,4946,21,3.5,5,3,40,6.66666666667,8,5,8195,1365.83333333,1802,1027,35648,5941.33333333,7569,4946,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,21,3.5,5,3,23,3.83333333333,5,3,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1460.0,1460,1460,8760,1460.0,1460,1460,563260,93876.6666667,96313,86498,171870,28645.0,31936,19854,1108,184.666666667,196,164,28089,4681.5,5544,3893,6,1.0,1,1,6,1.0,1,1,0.792,0.132,0.16,0.095,1.298,0.216333333333,0.307,0.095,3485.2,580.866666667,1100.1,35.3,3666.3,611.05,1140.0,64.2,27143,4523.83333333,7969,2336,114458,19076.3333333,30892,13327,1.07446289062,0.179077148438,0.179077148438,0.179077148438,6,1.0,1,1,0,0.0,0,0,6,1.0,1,1,6,1.0,1,1,6.0,8.0,1307,1448,105024,34816,31,31,87616,15872
66,11.0,12,9,56,9.33333333333,11,8,59,9.83333333333,11,8,55,9.16666666667,10,8,37,6.16666666667,8,5,9,1.5,2,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8185,1364.16666667,1801,1023,35723,5953.83333333,7602,4946,21,3.5,5,3,39,6.5,8,5,8185,1364.16666667,1801,1023,35723,5953.83333333,7602,4946,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,21,3.5,5,3,22,3.66666666667,5,3,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1460.0,1460,1460,8760,1460.0,1460,1460,554242,92373.6666667,96313,77480,171732,28622.0,31936,19854,1108,184.666666667,196,164,26737,4456.16666667,5869,2896,6,1.0,1,1,6,1.0,1,1,0.817,0.136166666667,0.162,0.079,1.179,0.1965,0.259,0.095,1462.7,243.783333333,654.6,31.8,1560.4,260.066666667,689.8,60.2,27593,4598.83333333,7919,2708,117945,19657.5,30829,13985,1.07663297653,0.179438829422,0.179438829422,0.179438829422,6,1.0,1,1,0,0.0,0,0,6,1.0,1,1,6,1.0,1,1,6.0,8.0,1308,1448,105024,34816,31,31,87616,15872
65,10.8333333333,12,9,57,9.5,11,8,59,9.83333333333,11,8,56,9.33333333333,11,8,37,6.16666666667,8,5,9,1.5,2,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8182,1363.66666667,1797,1023,35712,5952.0,7596,4946,21,3.5,5,3,40,6.66666666667,9,5,8182,1363.66666667,1797,1023,35712,5952.0,7596,4946,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,21,3.5,5,3,23,3.83333333333,5,3,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1460.0,1460,1460,8760,1460.0,1460,1460,561990,93665.0,96313,85228,171626,28604.3333333,31744,19854,1108,184.666666667,196,164,26160,4360.0,4693,3893,6,1.0,1,1,6,1.0,1,1,0.802,0.133666666667,0.168,0.079,1.29,0.215,0.351,0.094,1615.5,269.25,609.3,34.5,1614.1,269.016666667,649.9,62.8,27063,4510.5,8051,2713,116629,19438.1666667,31211,11377,1.06346511841,0.177244186401,0.177244186401,0.177244186401,6,1.0,1,1,0,0.0,0,0,6,1.0,1,1,6,1.0,1,1,6.0,8.0,1307,1448,105024,34304,31,31,87616,15872
